Week,Day,Date,Track,Topic,Problems/Sub-Topics,Duration,Priority,Status,SRE Mindset
Week 1,Wed,Jan 7,DSA,Big-O Basics + SRE Problems,"Big-O analysis, Arrays (3 problems), Log Analyzer, Health Check Monitor",90 min,High,[x],✅ Solved 5 problems! Used Counter, defaultdict, datetime, json!
Week 1,Wed,Jan 7,DevOps,Linux + Python Modules,"File structure, grep, find, permissions, log analysis, Python modules (os/sys/subprocess/collections)",120 min,High,[x],✅ EC2 practice! Linux quiz 7+/10. Python modules guide complete!
Week 1,Thu,Jan 8,DSA,HashMap + Reinforcement,"Two Sum (HashMap), Top K Frequent (Counter), enumerate, list comprehension",60 min,High,[x],✅ Solved 4 problems! HashMap pattern mastered!
Week 1,Thu,Jan 8,DevOps,Shell + Nginx,"Variables, conditionals, loops, functions (10 exercises), Nginx reverse proxy, load balancer",120 min,High,[x],✅ Shell exercises complete! Nginx hands-on on Killercoda!
Week 1,Fri,Jan 9,DSA,Binary Search Basics,"Basic search, First/Last occurrence, Search insert",60 min,High,[x],✅ O(log n) master! Solved 4 key patterns.
Week 1,Fri,Jan 9,DevOps,Git Advanced,"Branching, Merge Conflicts, Stashing",60 min,High,[x],✅ Hands-on conflict resolution and stashing mastered!
Week 1,Sat,Jan 10,DSA,Sliding Window,"Max Sum Subarray (Fixed), Longest Substring K Distinct (Variable), Smallest Subarray Sum (Variable)",90 min,High,[x],✅ Mastered O(n) patterns! Fixed & Variable windows conquered!
Week 1,Sat,Jan 10,DevOps,Maven Quick Reference,"pom.xml, Lifecycles, Dependencies (interview prep only)",30 min,Medium,[x],✅ Quick reference created
Week 1,Sun,Jan 11,DSA,Two Pointers,"Reverse Array, Remove Duplicates, Container With Most Water",60 min,High,[ ],Like network traffic analysis!
Week 1,Sun,Jan 11,AWS,EC2 Deep Dive,"Instance types, AMIs, User Data, Security Groups, Key Pairs | Interview Qs",60 min,High,[ ],Core compute service
Week 1,Sun,Jan 11,DevOps,Docker Basics,"Dockerfile, Images, Containers, docker run/build/exec",60 min,High,[ ],Container fundamentals
